rank,id,score
1,1501,23058.39351851852
2,2643,22833.887625735875
3,3949,22833.887625735875
4,4185,22833.887625735875
5,0786,22830.92298130866
6,2280,22830.92298130866
7,2814,22830.92298130866
8,3400,22830.92298130866
9,1040,22829.290995193667
10,5045,22829.290995193667
11,5077,3210.9555100605876
12,4061,2837.1926552937866
13,2311,636.1358123148052
14,3199,526.0437785815409
15,4585,521.0980186882019
16,2645,508.8390793489042
17,2697,501.62321369499375
18,4494,498.1036786313614
19,3331,494.9080195033713
20,5455,490.6921029158207
21,0926,490.66389497096276
22,2990,487.1651033122252
23,4190,486.600253651435
24,4214,485.7837723781605
25,0172,484.39371486798063
26,4132,473.28973265999883
27,5350,472.8474773879472
28,4510,472.2456337755629
29,2625,471.6028746219172
30,2164,467.80046478954534
31,3979,464.460806355849
32,1438,459.1292635976963
33,1812,457.6616872591812
34,0882,456.9239652198848
35,1801,456.38024452322315
36,3608,456.1217419416784
37,4029,452.39705812845193
38,4088,448.6344424019405
39,4371,447.3025671267569
40,0251,434.9607807643957
41,2536,427.2839021779168
42,3651,381.0107893246697
43,1657,370.94175918604043
44,4971,370.39881655237116
45,1699,352.3922140786213
46,4475,351.8363636971606
47,0374,347.9826004537252
48,2888,347.55387262041063
49,4784,343.18741426183226
50,1061,341.75608779488533
51,4594,341.23727733592807
52,3482,339.3997998539261
53,5026,336.1455510136472
54,2447,335.74757337732234
55,3783,335.6760169946907
56,1290,335.4978120474094
57,1419,333.5998887700763
58,3219,332.8744158850954
59,3216,331.4497617849861
60,2283,331.3842871493466
61,1090,331.1432733387015
62,2967,329.37426809816856
63,3830,327.9141583519747
64,2180,324.8318454272517
65,2877,324.2254555987186
66,5159,322.73963992018315
67,0909,321.79885018281914
68,5187,321.4780567490198
69,1088,321.16057553554697
70,2805,320.2279410297533
71,4151,320.14004606679634
72,2126,320.0581816560953
73,0294,320.0171885017978
74,4228,316.8852853370361
75,2141,316.3241172731695
76,2560,315.7806123311196
77,3361,314.44451658939374
78,0240,312.55886898583344
79,0648,312.091912222504
80,5389,308.5909695524286
81,0458,308.2428171433393
82,2691,306.6352661583188
83,4593,306.628410617658
84,4416,305.303977690283
85,4040,305.2904352222432
86,3840,305.0669924654127
87,5092,304.7157798199654
88,3359,304.6765099605933
89,4873,304.3799751209982
90,4338,304.22911047583415
91,0469,303.3532643262246
92,4168,302.0858733382201
93,0756,300.7999420105538
94,5043,300.3344727554747
95,0526,299.13413159562907
96,4774,298.2368525940455
97,4683,297.2990955803826
98,2993,296.1007120276869
99,1024,295.1964742607584
100,0234,292.59865043532596
101,4941,291.90815222066806
102,1006,291.61873972151704
103,0595,290.79649255140913
104,1407,290.68247574908736
105,4453,290.6101905038097
106,2084,290.22290033279256
107,4888,289.99253136440547
108,0491,289.9148777971812
109,2450,288.374325444394
110,5182,288.26818992360285
111,4345,287.66702187533
112,3419,287.3044160498248
113,0908,286.76095061310804
114,3406,286.47851900014797
115,2204,286.1229568172913
116,0081,285.026838910085
117,3529,284.7212380754351
118,1332,283.80993153137445
119,4252,283.4495150623615
120,3488,283.4112982865046
121,3023,282.93807778924577
122,2436,282.3714936250203
123,4827,282.071301508934
124,5520,281.6778522952803
125,3820,281.0662888145029
126,1588,279.89298189881276
127,1184,277.5510734745486
128,1207,277.27970588930316
129,0744,276.0445440001269
130,0913,275.53158896540526
131,1772,273.28309197585486
132,5334,273.2664094416507
133,4344,272.2967688592852
134,1730,271.9674015519898
135,4303,271.4593302356293
136,2986,270.98785914177927
137,1449,270.78811778320505
138,3442,270.6913099597524
139,3550,269.68992508972934
140,3837,268.9266872357753
141,5403,268.61679461755466
142,3676,267.38133388267
143,1731,266.2664768422665
144,2172,265.7304527860974
145,3127,265.0683603514317
146,0134,264.9667118046307
147,3622,263.8206255250511
148,3031,263.29004976012146
149,5352,263.17924649687507
150,2655,262.434329536936
151,4470,259.5959711034661
152,1769,258.8880229757928
153,3639,258.75810092746246
154,2343,258.67058871247787
155,3333,257.8931540647015
156,3760,257.17063536759446
157,2873,256.4820875090086
158,4677,256.03443900303733
159,0520,255.7942883172047
160,1125,255.78684066787412
161,3645,255.01013070588164
162,3943,254.52923654638744
163,2159,254.27263955553758
164,5220,253.30071673738277
165,1554,253.2766980082382
166,4592,253.1422884978364
167,1770,253.02064563158143
168,0584,252.97049725325826
169,2201,252.67548625262
